d_kpi_id,d_level0_id,d_level1_id,d_level2_id,Period_int,PeriodName,Grain,Denominator,Numerator,Denominator_LP,Numerator_LP
1,1,1,0.0,2020-01-01 00:00:00,01/01/2020,D,0.0,4342.0,0.0,0.0
1,1,1,0.0,2020-01-02 00:00:00,02/01/2020,D,0.0,5922.0,0.0,4342.0
1,1,1,0.0,2020-01-03 00:00:00,03/01/2020,D,0.0,5889.0,0.0,5922.0
1,1,1,0.0,2020-01-04 00:00:00,04/01/2020,D,0.0,5699.0,0.0,5889.0
1,1,1,0.0,2020-01-05 00:00:00,05/01/2020,D,0.0,2604.0,0.0,5699.0
1,1,1,0.0,2020-01-06 00:00:00,06/01/2020,D,0.0,3434.0,0.0,2604.0
1,1,1,0.0,2020-01-07 00:00:00,07/01/2020,D,0.0,4025.0,0.0,3434.0
1,1,1,0.0,2020-01-08 00:00:00,08/01/2020,D,0.0,5235.0,0.0,4025.0
1,1,1,0.0,2020-01-09 00:00:00,09/01/2020,D,0.0,2272.0,0.0,5235.0
1,1,1,0.0,2020-01-10 00:00:00,10/01/2020,D,0.0,5264.0,0.0,2272.0
1,1,1,0.0,2020-01-11 00:00:00,11/01/2020,D,0.0,2651.0,0.0,5264.0
1,1,1,0.0,2020-01-12 00:00:00,12/01/2020,D,0.0,4114.0,0.0,2651.0
1,1,1,0.0,2020-01-13 00:00:00,13/01/2020,D,0.0,3849.0,0.0,4114.0
1,1,1,0.0,2020-01-14 00:00:00,14/01/2020,D,0.0,3199.0,0.0,3849.0
1,1,1,0.0,2020-01-15 00:00:00,15/01/2020,D,0.0,5971.0,0.0,3199.0
1,1,1,0.0,2020-01-16 00:00:00,16/01/2020,D,0.0,3623.0,0.0,5971.0
1,1,1,0.0,2020-01-17 00:00:00,17/01/2020,D,0.0,4357.0,0.0,3623.0
1,1,1,0.0,2020-01-18 00:00:00,18/01/2020,D,0.0,4355.0,0.0,4357.0
1,1,1,0.0,2020-01-19 00:00:00,19/01/2020,D,0.0,3288.0,0.0,4355.0
1,1,1,0.0,2020-01-20 00:00:00,20/01/2020,D,0.0,3527.0,0.0,3288.0
1,1,1,0.0,2020-01-21 00:00:00,21/01/2020,D,0.0,2648.0,0.0,3527.0
1,1,1,0.0,2020-01-22 00:00:00,22/01/2020,D,0.0,3020.0,0.0,2648.0
1,1,1,0.0,2020-01-23 00:00:00,23/01/2020,D,0.0,2740.0,0.0,3020.0
1,1,1,0.0,2020-01-24 00:00:00,24/01/2020,D,0.0,2962.0,0.0,2740.0
