,d_kpi_id,d_level0_id,d_level1_id,d_level2_id,Period_int,PeriodName,Numerator,Denominator,Grain
0,1,1,1,0,2020-03-31,Q1 2020,358411.0,0.0,Q
1,1,1,1,0,2020-06-30,Q2 2020,374950.0,0.0,Q
2,1,1,1,0,2020-09-30,Q3 2020,371923.0,0.0,Q
3,1,1,1,0,2020-12-31,Q4 2020,388366.0,0.0,Q
4,1,1,1,0,2021-03-31,Q1 2021,388618.0,0.0,Q
5,1,1,1,0,2021-06-30,Q2 2021,374816.0,0.0,Q
6,1,1,1,0,2021-09-30,Q3 2021,382800.0,0.0,Q
7,1,1,1,0,2021-12-31,Q4 2021,385810.0,0.0,Q
8,1,1,1,0,2022-03-31,Q1 2022,371513.0,0.0,Q
9,1,1,1,0,2022-06-30,Q2 2022,378372.0,0.0,Q
10,1,1,1,0,2022-09-30,Q3 2022,372015.0,0.0,Q
11,1,1,1,0,2022-12-31,Q4 2022,130328.0,0.0,Q
12,1,1,1,1,2020-03-31,Q1 2020,147329.0,0.0,Q
13,1,1,1,1,2020-06-30,Q2 2020,170152.0,0.0,Q
14,1,1,1,1,2020-09-30,Q3 2020,167619.0,0.0,Q
15,1,1,1,1,2020-12-31,Q4 2020,148805.0,0.0,Q
16,1,1,1,1,2021-03-31,Q1 2021,149500.0,0.0,Q
17,1,1,1,1,2021-06-30,Q2 2021,161028.0,0.0,Q
18,1,1,1,1,2021-09-30,Q3 2021,146421.0,0.0,Q
19,1,1,1,1,2021-12-31,Q4 2021,134079.0,0.0,Q
20,1,1,1,1,2022-03-31,Q1 2022,150793.0,0.0,Q
21,1,1,1,1,2022-06-30,Q2 2022,151034.0,0.0,Q
22,1,1,1,1,2022-09-30,Q3 2022,155716.0,0.0,Q
23,1,1,1,1,2022-12-31,Q4 2022,50687.0,0.0,Q
24,1,1,2,0,2020-03-31,Q1 2020,290947.0,0.0,Q
25,1,1,2,0,2020-06-30,Q2 2020,291621.0,0.0,Q
26,1,1,2,0,2020-09-30,Q3 2020,279128.0,0.0,Q
27,1,1,2,0,2020-12-31,Q4 2020,287558.0,0.0,Q
28,1,1,2,0,2021-03-31,Q1 2021,256557.0,0.0,Q
29,1,1,2,0,2021-06-30,Q2 2021,296014.0,0.0,Q
30,1,1,2,0,2021-09-30,Q3 2021,270228.0,0.0,Q
31,1,1,2,0,2021-12-31,Q4 2021,280467.0,0.0,Q
32,1,1,2,0,2022-03-31,Q1 2022,292755.0,0.0,Q
33,1,1,2,0,2022-06-30,Q2 2022,272369.0,0.0,Q
34,1,1,2,0,2022-09-30,Q3 2022,274261.0,0.0,Q
35,1,1,2,0,2022-12-31,Q4 2022,94101.0,0.0,Q
36,1,1,3,0,2020-03-31,Q1 2020,32408.0,0.0,Q
37,1,1,3,0,2020-06-30,Q2 2020,31166.0,0.0,Q
38,1,1,3,0,2020-09-30,Q3 2020,32834.0,0.0,Q
39,1,1,3,0,2020-12-31,Q4 2020,30825.0,0.0,Q
40,1,1,3,0,2021-03-31,Q1 2021,31943.0,0.0,Q
