d_kpi_id,d_level0_id,d_level1_id,Period_int,PeriodName,Grain,Denominator,Numerator,Denominator_LP,Numerator_LP
1,1,1,2020-01-01 00:00:00,01/01/2020,D,0.0,6803.0,0.0,0.0
1,1,1,2020-01-02 00:00:00,02/01/2020,D,0.0,8339.0,0.0,6803.0
1,1,1,2020-01-03 00:00:00,03/01/2020,D,0.0,6409.0,0.0,8339.0
1,1,1,2020-01-04 00:00:00,04/01/2020,D,0.0,8168.0,0.0,6409.0
1,1,1,2020-01-05 00:00:00,05/01/2020,D,0.0,4125.0,0.0,8168.0
1,1,1,2020-01-06 00:00:00,06/01/2020,D,0.0,5913.0,0.0,4125.0
1,1,1,2020-01-07 00:00:00,07/01/2020,D,0.0,4720.0,0.0,5913.0
1,1,1,2020-01-08 00:00:00,08/01/2020,D,0.0,6947.0,0.0,4720.0
1,1,1,2020-01-09 00:00:00,09/01/2020,D,0.0,4483.0,0.0,6947.0
1,1,1,2020-01-10 00:00:00,10/01/2020,D,0.0,6659.0,0.0,4483.0
1,1,1,2020-01-11 00:00:00,11/01/2020,D,0.0,5846.0,0.0,6659.0
1,1,1,2020-01-12 00:00:00,12/01/2020,D,0.0,4568.0,0.0,5846.0
1,1,1,2020-01-13 00:00:00,13/01/2020,D,0.0,6346.0,0.0,4568.0
1,1,1,2020-01-14 00:00:00,14/01/2020,D,0.0,5209.0,0.0,6346.0
1,1,1,2020-01-15 00:00:00,15/01/2020,D,0.0,9091.0,0.0,5209.0
1,1,1,2020-01-16 00:00:00,16/01/2020,D,0.0,3790.0,0.0,9091.0
1,1,1,2020-01-17 00:00:00,17/01/2020,D,0.0,5014.0,0.0,3790.0
1,1,1,2020-01-18 00:00:00,18/01/2020,D,0.0,6474.0,0.0,5014.0
1,1,1,2020-01-19 00:00:00,19/01/2020,D,0.0,6449.0,0.0,6474.0
1,1,1,2020-01-20 00:00:00,20/01/2020,D,0.0,4575.0,0.0,6449.0
1,1,1,2020-01-21 00:00:00,21/01/2020,D,0.0,4827.0,0.0,4575.0
1,1,1,2020-01-22 00:00:00,22/01/2020,D,0.0,4352.0,0.0,4827.0
1,1,1,2020-01-23 00:00:00,23/01/2020,D,0.0,5334.0,0.0,4352.0
1,1,1,2020-01-24 00:00:00,24/01/2020,D,0.0,3378.0,0.0,5334.0
1,1,1,2020-01-25 00:00:00,25/01/2020,D,0.0,2841.0,0.0,3378.0
1,1,1,2020-01-26 00:00:00,26/01/2020,D,0.0,3347.0,0.0,2841.0
1,1,1,2020-01-27 00:00:00,27/01/2020,D,0.0,5893.0,0.0,3347.0
1,1,1,2020-01-28 00:00:00,28/01/2020,D,0.0,5424.0,0.0,5893.0
1,1,1,2020-01-29 00:00:00,29/01/2020,D,0.0,5729.0,0.0,5424.0
1,1,1,2020-01-30 00:00:00,30/01/2020,D,0.0,4748.0,0.0,5729.0
