d_kpi_id,d_level0_id,Period_int,PeriodName,Grain,Denominator,Numerator,Denominator_LP,Numerator_LP,KPICode,KPIName,KPIDescription,KPIGroup,numerator_id,denominator_id,HigherIs(1=positive),IsCum,Calculation,Notation,Target,AggregateNum,AggregateDenom,Level0_Attribuut,Level1_Attribuut,Level2_Attribuut,GroupImage,KPIImage,Sorting,kpicolor,oprollen,live,visual,d_f_level0_id,Level0Name,Level0NameShort,Level0Description,Level0Entitytype,Level0Color,Level0Color2,Level0Color3,Level0Color4,Level0Color5,Level0Extra1,Level0Extra2,Level0Extra3
1,1,2020-01-01,01/01/2020,D,0.0,74171.0,0.0,0.0,#_ziekteuren,Ziekteuren,Ziekteuren,HR,1,0,1,1,1,#,,1,1,Directie,Afdeling,Locatie,person,,1,red,y,1,bar,1,COA,COA,COA,Directie,#F28C28,#F28C28,#F28C28,#F28C28,#F28C28,,,
1,1,2020-01-02,02/01/2020,D,0.0,98916.0,0.0,74171.0,#_ziekteuren,Ziekteuren,Ziekteuren,HR,1,0,1,1,1,#,,1,1,Directie,Afdeling,Locatie,person,,1,red,y,1,bar,1,COA,COA,COA,Directie,#F28C28,#F28C28,#F28C28,#F28C28,#F28C28,,,
1,1,2020-01-03,03/01/2020,D,0.0,32333.0,0.0,98916.0,#_ziekteuren,Ziekteuren,Ziekteuren,HR,1,0,1,1,1,#,,1,1,Directie,Afdeling,Locatie,person,,1,red,y,1,bar,1,COA,COA,COA,Directie,#F28C28,#F28C28,#F28C28,#F28C28,#F28C28,,,
1,1,2020-01-04,04/01/2020,D,0.0,92492.0,0.0,32333.0,#_ziekteuren,Ziekteuren,Ziekteuren,HR,1,0,1,1,1,#,,1,1,Directie,Afdeling,Locatie,person,,1,red,y,1,bar,1,COA,COA,COA,Directie,#F28C28,#F28C28,#F28C28,#F28C28,#F28C28,,,
1,1,2020-01-05,05/01/2020,D,0.0,82557.0,0.0,92492.0,#_ziekteuren,Ziekteuren,Ziekteuren,HR,1,0,1,1,1,#,,1,1,Directie,Afdeling,Locatie,person,,1,red,y,1,bar,1,COA,COA,COA,Directie,#F28C28,#F28C28,#F28C28,#F28C28,#F28C28,,,
1,1,2020-01-06,06/01/2020,D,0.0,56339.0,0.0,82557.0,#_ziekteuren,Ziekteuren,Ziekteuren,HR,1,0,1,1,1,#,,1,1,Directie,Afdeling,Locatie,person,,1,red,y,1,bar,1,COA,COA,COA,Directie,#F28C28,#F28C28,#F28C28,#F28C28,#F28C28,,,
1,1,2020-01-07,07/01/2020,D,0.0,56707.0,0.0,56339.0,#_ziekteuren,Ziekteuren,Ziekteuren,HR,1,0,1,1,1,#,,1,1,Directie,Afdeling,Locatie,person,,1,red,y,1,bar,1,COA,COA,COA,Directie,#F28C28,#F28C28,#F28C28,#F28C28,#F28C28,,,
1,1,2020-01-08,08/01/2020,D,0.0,44412.0,0.0,56707.0,#_ziekteuren,Ziekteuren,Ziekteuren,HR,1,0,1,1,1,#,,1,1,Directie,Afdeling,Locatie,person,,1,red,y,1,bar,1,COA,COA,COA,Directie,#F28C28,#F28C28,#F28C28,#F28C28,#F28C28,,,
1,1,2020-01-09,09/01/2020,D,0.0,76549.0,0.0,44412.0,#_ziekteuren,Ziekteuren,Ziekteuren,HR,1,0,1,1,1,#,,1,1,Directie,Afdeling,Locatie,person,,1,red,y,1,bar,1,COA,COA,COA,Directie,#F28C28,#F28C28,#F28C28,#F28C28,#F28C28,,,
1,1,2020-01-10,10/01/2020,D,0.0,73993.0,0.0,76549.0,#_ziekteuren,Ziekteuren,Ziekteuren,HR,1,0,1,1,1,#,,1,1,Directie,Afdeling,Locatie,person,,1,red,y,1,bar,1,COA,COA,COA,Directie,#F28C28,#F28C28,#F28C28,#F28C28,#F28C28,,,
